,Title,Published_date,Views,Likes,Comments,Month
0,"Modern Machine Learning Apps with Streamlit - No HTML, CSS, JS",2023-07-11,3005,200,16,Jul
1,"UPDATE, DELETE, ALTER - SQL Tutorial Series #2",2023-07-09,1063,79,19,Jul
2,"CREATE, SELECT, INSERT - SQL Tutorial Series #1",2023-07-07,2207,153,17,Jul
3,Transfer Learning with Tensorflow in Python,2023-07-05,2370,129,10,Jul
4,Professional Python Testing with Mocks,2023-07-03,3676,178,8,Jul
5,Matplotlib Full Python Course - Data Science Fundamentals,2023-07-01,4585,328,18,Jul
6,"Everyone Loves Rust, Nobody Likes MATLAB - Stackoverflow Survey 2023",2023-06-29,2456,109,13,Jun
7,GPT Function Calling: Absolute Game Changer,2023-06-27,6300,278,22,Jun
8,K-Means Clustering From Scratch in Python (Mathematical),2023-06-25,2605,148,5,Jun
9,OpenAI Embeddings For Recommendations Systems,2023-06-23,2118,92,12,Jun
10,Pseudo-Random Number Generator From Scratch in Python,2023-06-21,1816,114,12,Jun
11,Image Segmentation with K-Means Clustering in Python,2023-06-19,2901,180,7,Jun
12,This One Took Some Time... | Let's Code Codewars,2023-06-17,3230,136,12,Jun
13,Generating ACTUALLY Random Numbers in Python,2023-06-15,4002,253,13,Jun
14,HTTP Status Codes Simply Explained in Flask,2023-06-13,2296,141,12,Jun
15,MongoDB in Python - NoSQL Document Database,2023-06-11,5741,258,29,Jun
16,Dropbox Automation For Backups in Python,2023-06-09,2385,137,13,Jun
17,Linux File System Simply Explained,2023-06-07,5695,301,23,Jun
18,"Dynamic Attribute Handling in Python: getattr(), setattr(), hasattr(), delattr()",2023-06-05,3438,233,13,Jun
19,Wheel Files: Packaging Python Applications & Modules,2023-06-03,4828,260,19,Jun
20,Base64 Encoding Binary Files in Python,2023-06-01,3825,209,19,Jun
21,Convert Videos To MP3 with FFmpeg in Python,2023-05-30,3517,172,7,May
22,5 Awesome Linux Terminal Tools You Must Know,2023-05-28,85513,2734,92,May
23,Google Calendar Automation in Python,2023-05-26,5640,234,11,May
24,Advanced Dictionaries: defaultdict in Python,2023-05-24,7044,380,23,May
25,Render Math Formulas From LaTeX in Python,2023-05-22,3743,195,16,May
26,Transcribe Audio Files with OpenAI Whisper,2023-05-20,7191,294,20,May
27,Taking The StackOverflow Developer Survey 2023,2023-05-18,1934,88,7,May
28,Create & Manage Cookies in Flask and Python,2023-05-16,2510,137,7,May
29,Create Your Own Custom MoviePy Animations,2023-05-14,5567,250,20,May
30,MapReduce Jobs For Distributed Hadoop Clusters in Python,2023-05-12,3012,133,9,May
31,Analyze Text Readability & Complexity in Python,2023-05-10,2611,133,7,May
32,RSA Encryption From Scratch - Math & Python Code,2023-05-08,4757,299,26,May
33,Let's Code Codewars - New Coding Challenges,2023-05-06,4587,188,23,May
34,Automatically Install Dependencies From Python Code,2023-05-04,8463,457,18,May
35,Load Environment Variables From .env Files in Python,2023-05-02,8999,381,20,May
36,URL Shortener in Flask with Python,2023-04-30,4697,223,14,Apr
37,Marks in Vim Are A Game Changer,2023-04-28,4079,166,13,Apr
38,Properly Load & Manage API Keys in Python,2023-04-26,7088,390,26,Apr
39,Flask Blueprints Make Your Apps Modular & Professional,2023-04-24,6696,311,14,Apr
40,How To Read Documentations For Beginners,2023-04-22,11461,604,20,Apr
41,Massively Speed-Up SQL Queries with Indexes,2023-04-20,5620,303,21,Apr
42,Gradient Descent From Scratch in Python - Visual Explanation,2023-04-18,5767,275,16,Apr
43,Easiest Way To Install Stable Diffusion & Generate AI Images,2023-04-16,5210,251,26,Apr
44,Python Interface Definitions & Stub Files For Professional Development,2023-04-14,4849,292,12,Apr
45,Professional Weather App with Django in Python,2023-04-12,13049,528,27,Apr
46,Dockerize Python Applications with GUI,2023-04-10,8261,343,15,Apr
47,Simple Bluetooth Chat in Python,2023-04-08,12474,682,36,Apr
48,Professional Authentication System with Descope in Python Flask,2023-04-06,4585,211,7,Apr
49,Deep Reinforcement Learning with OpenAI Gym in Python,2023-04-04,13873,394,46,Apr
50,Sign Emails with Certificates & S/MIME in Python,2023-04-02,2946,162,7,Apr
51,GPT-3.5 vs GPT-4: Which AI is Better at Complex Machine Learning Tasks?,2023-03-31,8392,279,14,Mar
52,Generate AI Images with OpenAI DALL-E in Python,2023-03-29,11894,326,9,Mar
53,Encrypt SQLite Databases with SQLCipher,2023-03-27,4832,242,8,Mar
54,Hashing in Python: Using Hashlib Library for Secure Hashing,2023-03-25,8831,446,18,Mar
55,Google Sheets API Automation in Python,2023-03-23,18628,567,27,Mar
56,Live Face Recognition in Python,2023-03-21,30607,871,48,Mar
57,Use OpenAI's ChatGPT in Python,2023-03-19,27240,962,42,Mar
58,K-Nearest Neighbors Classification From Scratch in Python (Mathematical),2023-03-17,4985,273,5,Mar
59,AI Custom Drawings Classifier with Python,2023-03-15,4453,187,10,Mar
60,Fake News Detection in Python,2023-03-13,9395,363,24,Mar
61,Polling Application with Flask - Beginner Project,2023-03-11,6134,243,17,Mar
62,Text Generation AI - Next Word Prediction in Python,2023-03-09,11574,379,17,Mar
63,PostgreSQL in Python - Crash Course,2023-03-07,15944,598,22,Mar
64,Simple Todo List App in Flask - Beginner Project,2023-03-05,12089,451,33,Mar
65,Anomaly Detection For Time Series Data in Python,2023-03-03,11429,383,11,Mar
66,Laptop Price Prediction with Python,2023-03-01,6820,269,21,Mar
67,Find Celebrity Lookalikes with DeepFace in Python,2023-02-27,3212,150,8,Feb
68,Age & Gender Prediction with DeepFace in Python,2023-02-25,8315,334,27,Feb
69,Predicting CS:GO Round Winner with Machine Learning,2023-02-23,5943,259,18,Feb
70,Generating Realistic AI Images with Stable Diffusion,2023-02-21,8042,255,18,Feb
71,Pynecone: The Python-Only Web Framework,2023-02-19,19392,749,42,Feb
72,Code Faster and Smarter: 10 PyCharm Snippets to Speed Up Your Game,2023-02-17,4599,227,14,Feb
73,Build Your Own Financial Dashboard with Python,2023-02-15,19046,731,41,Feb
74,Mastering Python Code Quality with Pylint,2023-02-13,10836,514,24,Feb
75,Command-Line Python Debugging with pdb,2023-02-11,6710,308,9,Feb
76,Advanced Exception Handling in Python,2023-02-09,17107,795,29,Feb
77,Graph Embedding For Machine Learning in Python,2023-02-07,6655,301,8,Feb
78,Matchmaking System For Games in Python,2023-02-05,5877,246,9,Feb
79,NeoVim Installation & Config on Windows,2023-02-03,30595,532,32,Feb
80,NetworkX Crash Course - Graph Theory in Python,2023-02-01,20351,698,36,Feb
81,Coding Tic-Tac-Toe Game with ChatGPT in Python,2023-01-30,9523,302,25,Jan
82,Chocolatey is The Package Manager For Windows,2023-01-28,13123,357,20,Jan
83,Professional Webhooks with Flask in Python,2023-01-26,12572,416,12,Jan
84,Makefiles in Python For Professional Automation,2023-01-24,21904,1085,39,Jan
85,Simple FTP Server in Python,2023-01-22,12783,517,23,Jan
86,Python Speed Comparison: Faster Than We Thought?!,2023-01-20,10684,507,80,Jan
87,Python Case Types and Naming Conventions,2023-01-18,4802,310,17,Jan
88,Professional Project & Dependency Management in Python,2023-01-16,14731,566,12,Jan
89,Professional Expense Tracker in Python,2023-01-14,16824,617,25,Jan
90,Massively Speed Up Requests with HTTPX in Python,2023-01-12,10155,699,26,Jan
91,Python Threading Explained in 8 Minutes,2023-01-10,39411,1533,46,Jan
92,Professional Command-Line Tools with Click-Shell,2023-01-08,7207,475,15,Jan
93,Optimize Your Python Programs: Code Profiling with cProfile,2023-01-06,12805,463,21,Jan
94,Telegram Birthday Bot in Python - Never Forget One Again,2023-01-04,7482,295,18,Jan
95,Dive Into The Details: Disassembling Python Code,2023-01-02,7581,376,20,Jan
96,Python's @ Operator: The Key to Better Readability in Matrix Operations,2022-12-31,9012,445,15,Dec
97,For-Else: An Underused Python Statement,2022-12-29,7731,509,25,Dec
98,ChatGPT Will Not Replace Us... YET!,2022-12-27,7652,287,43,Dec
